Time Period,IP Year-on-Year,IP Quarter-on-Quarter,RG Year-on-Year,RG Quarter-on-Quarter,RS Year-on-Year,RS Quarter-on-Quarter,Country
2014-01-01,0.050515387822603675,-0.13754248044875728,0.08737145576347838,-0.1610069123448865,0.12240663900414939,-0.09397235326686271,China
2014-04-01,0.05728817975543832,0.10962504391420347,0.09037776958682042,0.11174923522198821,0.12301019827057869,0.045715786390311486,China
2014-07-01,0.05407635002979494,0.008072589988756151,0.08712235428750104,0.05748049710651704,0.1188471854022295,0.04563455650107695,China
2014-10-01,0.03511444130532704,0.07295769387477935,0.07782333555658472,0.09272277134985885,0.1171439945456958,0.12764945244264614,China
2015-01-01,0.01541222381526608,-0.15395837124118894,0.07372914710023748,-0.16419388714967575,0.1475813864226334,-0.06928697817681373,China
2015-04-01,0.015327139270574719,0.10953206498463652,0.07706646320266652,0.11520472363318546,0.14077215079832706,0.0395109757600296,China
2015-07-01,0.0015109330435962853,-0.005644898942993137,0.06715424447093898,0.04774852758563197,0.14704220494795406,0.05138170354125915,China
2015-10-01,-0.0003892312682451937,0.07092197379350096,0.06494537101093911,0.0904609742935496,0.15848024116914616,0.13889410867779461,China
2016-01-01,0.0036524402901754183,-0.15053761738863414,0.07458155763709828,-0.1566310732195444,0.10523791082084966,-0.11206140661019104,China
2016-04-01,0.025473681016856986,0.13365532251091916,0.07628907082006076,0.1169767871436489,0.10234145900894398,0.0367867718399888,China
2016-07-01,0.049319410777549866,0.017477218635353564,0.08161431321019474,0.052932557624186805,0.1052389977289443,0.054145292963224234,China
2016-10-01,0.09214602172629549,0.11463026533661802,0.09862914252213062,0.10761497005925325,0.10587878959302666,0.13955338254189176,China
2017-01-01,0.13496154018156625,-0.11723605185047759,0.11980604642571269,-0.1403745021652797,0.10948431359276256,-0.10916643842842777,China
2017-04-01,0.11934081973464483,0.11805257981950201,0.11323688785843178,0.11042422596205914,0.10793725572529356,0.035341082962181414,China
2017-07-01,0.11994184402891639,0.0180235477930919,0.1140182796138014,0.05367162118600466,0.10281819793693248,0.04927477286461546,China
2017-10-01,0.11282145672943145,0.1075436480919465,0.11278975564149651,0.1063935075682847,0.09856161952880971,0.13515501630881244,China
2018-01-01,0.09844637846765614,-0.1286393194318004,0.1108937980740945,-0.14183912156844092,0.04772876538291748,-0.1503872599996895,China
2018-04-01,0.10311777714472004,0.1228073584273961,0.1089966194652845,0.10852784928604198,0.036943658407793345,0.02468349227227895,China
2018-07-01,0.09970689714859415,0.014875782226535295,0.10190831963825242,0.046936938465508726,0.03822935410054851,0.05057575777835699,China
2018-10-01,0.07865292923294143,0.08633964501387736,0.09930904770743743,0.10378365560745895,0.03496593043289309,0.13158693018983603,China
2019-01-01,0.044642003061029056,-0.15611412895833376,0.07490062399862984,-0.16089323048782334,0.08673476378384315,-0.1078897641337887,China
2019-04-01,0.044833677439794606,0.12301337484476149,0.07831857340211879,0.11205272592731075,0.08554800061509238,0.02356449187882359,China
2019-07-01,0.025665139901048795,-0.003743147224936738,0.07067725546040649,0.03951800104843595,0.0761878801120901,0.041517184887276626,China
2019-10-01,0.029675654203406898,0.09058740630950557,0.0695072696495369,0.10257749267764549,0.07767725583854168,0.13315297468572762,China
2020-01-01,-0.09120877234148483,-0.2551867438868948,-0.05490442205423163,-0.2585033128852088,-0.16629420312238985,-0.30985137612763847,China
2020-04-01,0.006698934005689772,0.2440000881645401,0.028343794228302244,0.21000726936809122,-0.03842541410943756,0.18055266749590748,China
2020-07-01,0.03036332921122864,0.019675786772029635,0.053015718614454865,0.06445801591881062,-0.003909741830886659,0.07890239280929578,China
2020-10-01,0.052990212230549005,0.11453681615874767,0.0679947109444432,0.11826149388872631,0.03202353907117028,0.17403070018344113,China
2021-01-01,0.2775152083831882,-0.09637311815623573,0.21416084597514784,-0.15702181322703423,0.34155894729280645,-0.10285470605536806,China
2021-04-01,0.1905338039559128,0.1593006074333876,0.13892417767509024,0.13502798151847384,0.13885019188377012,0.0021718647694788373,China
